datetime,open,high,low,close,volume
2026-08-17 09:15:00+05:30,24000.0,24000.298033946514,23996.381393067626,23996.885927353305,5887
2026-08-17 09:16:00+05:30,23996.885927353305,23997.589975360144,23995.944190926893,23996.9267985755,796
2026-08-17 09:17:00+05:30,23996.9267985755,24000.33529606635,23996.599476044485,23998.3735564148,4626
2026-08-17 09:18:00+05:30,23998.3735564148,24000.2935793216,23995.82143117792,23996.06489010653,1789
2026-08-17 09:19:00+05:30,23996.06489010653,23996.16532553791,23990.657839428713,23992.053710596847,4162
2026-08-17 09:20:00+05:30,23992.053710596847,23992.909686642804,23990.1155607649,23990.779614929324,4221
2026-08-17 09:21:00+05:30,23990.779614929324,23991.486932438962,23989.948777542908,23990.440342934777,1172
2026-08-17 09:22:00+05:30,23990.440342934777,23990.748419086416,23985.44831183412,23986.62520866137,5285
2026-08-17 09:23:00+05:30,23986.62520866137,23988.172511157474,23986.018955837517,23986.04378431036,708
2026-08-17 09:24:00+05:30,23986.04378431036,23987.301296116504,23984.698330005373,23985.17375840194,3268
2026-08-17 09:25:00+05:30,23985.17375840194,23986.800008897386,23982.302609082944,23982.572351961895,2045
2026-08-17 09:26:00+05:30,23982.572351961895,23985.806425715222,23980.174971930956,23984.946520528174,4341
2026-08-17 09:27:00+05:30,23984.946520528174,23986.666781137665,23984.906851863983,23985.344721184567,2098
2026-08-17 09:28:00+05:30,23985.344721184567,23985.624828213087,23980.462744756464,23980.769692794143,3285
2026-08-17 09:29:00+05:30,23980.769692794143,23984.103347277432,23979.88404251673,23982.685611107885,5892
2026-08-17 09:30:00+05:30,23982.685611107885,23983.69417890999,23980.017810740927,23981.756288287634,5730
2026-08-17 09:31:00+05:30,23981.756288287634,23985.72395325427,23980.985988632736,23982.805874250855,5695
2026-08-17 09:32:00+05:30,23982.805874250855,23985.18282756542,23982.72184011489,23984.454893722326,4263
2026-08-17 09:33:00+05:30,23984.454893722326,23987.701127293258,23984.228334284777,23987.22526637505,5634
2026-08-17 09:34:00+05:30,23987.22526637505,23988.802950293306,23987.042432108545,23988.36505980297,2570
2026-08-17 09:35:00+05:30,23988.36505980297,23988.821443855923,23987.327092507432,23988.697816089738,1092
2026-08-17 09:36:00+05:30,23988.697816089738,23990.139154748304,23984.101684421596,23985.640674575283,3868
2026-08-17 09:37:00+05:30,23985.640674575283,23988.0002607753,23984.47543092106,23987.567530732624,3170
2026-08-17 09:38:00+05:30,23987.567530732624,23989.559345173824,23986.041036880506,23988.29353637873,5161
2026-08-17 09:39:00+05:30,23988.29353637873,23990.879887532476,23987.906610597827,23989.443838259846,1327
2026-08-17 09:40:00+05:30,23989.443838259846,23989.50875101376,23986.65708939742,23988.263617596287,505
2026-08-17 09:41:00+05:30,23988.263617596287,23989.77478618694,23984.721872758048,23986.92596760428,3723
2026-08-17 09:42:00+05:30,23986.92596760428,23987.244076692594,23985.393425815095,23985.95051932506,1532
2026-08-17 09:43:00+05:30,23985.95051932506,23986.816098222476,23984.073320123185,23984.697031850028,3644
2026-08-17 09:44:00+05:30,23984.697031850028,23984.817562073426,23981.3783483538,23983.65977299384,1268
2026-08-17 09:45:00+05:30,23983.65977299384,23986.404657883802,23981.579537491103,23984.51335006928,4723
2026-08-17 09:46:00+05:30,23984.51335006928,23985.6018088185,23982.220571249683,23982.241757982774,2032
2026-08-17 09:47:00+05:30,23982.241757982774,23983.001968693294,23979.495676205483,23980.687794353784,3110
2026-08-17 09:48:00+05:30,23980.687794353784,23983.228770742287,23980.182805403718,23982.83870822372,5393
2026-08-17 09:49:00+05:30,23982.83870822372,23988.222155445288,23982.52968143501,23986.76464668571,3437
2026-08-17 09:50:00+05:30,23986.76464668571,23987.995663325037,23984.215458237977,23984.233800409776,2694
2026-08-17 09:51:00+05:30,23984.233800409776,23985.625724842994,23984.168531756546,23984.987817058103,4539
2026-08-17 09:52:00+05:30,23984.987817058103,23986.4821731727,23984.434142328322,23985.43976894501,714
2026-08-17 09:53:00+05:30,23985.43976894501,23988.504859453125,23984.69196269658,23986.312898575194,1277
2026-08-17 09:54:00+05:30,23986.312898575194,23988.777240497064,23985.90765283228,23987.674292086453,5373
2026-08-17 09:55:00+05:30,23987.674292086453,23989.97583914948,23985.816258057454,23989.218895109367,1936
2026-08-17 09:56:00+05:30,23989.218895109367,23991.55559142642,23984.489819741455,23985.801291114127,2566
2026-08-17 09:57:00+05:30,23985.801291114127,23987.45227951809,23983.232702545352,23983.271585903887,2514
2026-08-17 09:58:00+05:30,23983.271585903887,23983.88227050468,23980.237306628056,23982.146324420442,4489
2026-08-17 09:59:00+05:30,23982.146324420442,23982.4506652289,23979.87117746599,23980.203290434205,3186
2026-08-17 10:00:00+05:30,23980.203290434205,23980.466194725035,23976.699679067926,23977.99184464362,3124
2026-08-17 10:01:00+05:30,23977.99184464362,23980.277111559157,23976.612065735026,23979.164112619885,4313
2026-08-17 10:02:00+05:30,23979.164112619885,23979.920311398502,23975.39351990899,23977.409153403598,3386
2026-08-17 10:03:00+05:30,23977.409153403598,23982.599695056273,23976.24046460531,23981.499752073225,5036
2026-08-17 10:04:00+05:30,23981.499752073225,23987.120204869338,23980.84101833055,23984.252740849726,1551
2026-08-17 10:05:00+05:30,23984.252740849726,23985.030646214138,23983.052958406774,23983.198716913535,609
2026-08-17 10:06:00+05:30,23983.198716913535,23985.422707762948,23980.27784043753,23982.869817001265,756
2026-08-17 10:07:00+05:30,23982.869817001265,23983.981309793166,23978.283652206657,23981.51471598352,3199
2026-08-17 10:08:00+05:30,23981.51471598352,23981.55861379474,23979.47285319487,23980.052748687845,1558
2026-08-17 10:09:00+05:30,23980.052748687845,23982.5853167063,23979.00588900181,23982.116144040294,655
2026-08-17 10:10:00+05:30,23982.116144040294,23984.717782650598,23982.098144282507,23982.465479859653,5573
2026-08-17 10:11:00+05:30,23982.465479859653,23983.719503756914,23977.583472952778,23979.32365662352,3504
2026-08-17 10:12:00+05:30,23979.32365662352,23980.02049627011,23974.493330425223,23974.49334854502,5644
2026-08-17 10:13:00+05:30,23974.49334854502,23978.125654946612,23973.693328553938,23976.90829318149,2817
2026-08-17 10:14:00+05:30,23976.90829318149,23977.13340082787,23973.045815763187,23975.169156046864,3808
2026-08-17 10:15:00+05:30,23975.169156046864,23979.78036603945,23974.770820415448,23978.75373963357,5977
2026-08-17 10:16:00+05:30,23978.75373963357,23978.867851312407,23977.21133458147,23978.243766748903,5197
2026-08-17 10:17:00+05:30,23978.243766748903,23978.3421866988,23974.72716533802,23978.055523338862,2004
