datetime,open,high,low,close,volume
2026-07-06 09:15:00+05:30,24000.0,24002.42360958943,23999.627279227167,24002.138097254603,2536
2026-07-06 09:16:00+05:30,24002.138097254603,24002.96080588895,24000.44760126608,24001.25792583221,6564
2026-07-06 09:17:00+05:30,24001.25792583221,24002.69842453899,24001.142474646735,24002.647761813976,5103
2026-07-06 09:18:00+05:30,24002.647761813976,24003.626797301684,24000.445158616476,24001.52691737444,4618
2026-07-06 09:19:00+05:30,24001.52691737444,24002.405272454973,24001.11582289912,24002.388676381204,5806
2026-07-06 09:20:00+05:30,24002.388676381204,24003.673278196282,24000.801325007506,24001.908939201436,6418
2026-07-06 09:21:00+05:30,24001.908939201436,24003.83221684984,23999.583787078376,24001.879858313714,4216
2026-07-06 09:22:00+05:30,24001.879858313714,24002.531193699313,23999.42693477424,23999.53183125002,1647
2026-07-06 09:23:00+05:30,23999.53183125002,23999.557416159285,23998.90502237333,23999.05849234435,1317
2026-07-06 09:24:00+05:30,23999.05849234435,23999.640284407917,23993.703021936533,23995.140203336676,4901
2026-07-06 09:25:00+05:30,23995.140203336676,23995.692293362794,23991.50464804141,23993.886325447023,5598
2026-07-06 09:26:00+05:30,23993.886325447023,23995.90379838108,23993.30117956018,23994.551037648842,2880
2026-07-06 09:27:00+05:30,23994.551037648842,23994.64360843285,23993.337406897965,23993.772583052647,1468
2026-07-06 09:28:00+05:30,23993.772583052647,23996.898706974924,23993.126602851135,23995.328850827314,2482
2026-07-06 09:29:00+05:30,23995.328850827314,23996.969672813197,23994.379099795326,23996.817444311568,3567
2026-07-06 09:30:00+05:30,23996.817444311568,23998.506192851502,23995.65327678844,23997.55285168647,5704
2026-07-06 09:31:00+05:30,23997.55285168647,23997.947084094296,23993.214199351525,23994.847044057366,6570
2026-07-06 09:32:00+05:30,23994.847044057366,23997.18242793269,23994.675469302598,23996.284828659886,6934
2026-07-06 09:33:00+05:30,23996.284828659886,23997.417757791212,23993.907814927185,23997.275982758405,4584
2026-07-06 09:34:00+05:30,23997.275982758405,23998.067698956896,23995.181112716156,23996.13612669857,3449
2026-07-06 09:35:00+05:30,23996.13612669857,23996.734834005747,23994.940876545254,23996.5163899469,904
2026-07-06 09:36:00+05:30,23996.5163899469,23996.56783994553,23993.013340166784,23993.277382218766,3973
2026-07-06 09:37:00+05:30,23993.277382218766,23993.726677625575,23992.414629330156,23992.914297545638,3140
2026-07-06 09:38:00+05:30,23992.914297545638,23993.684944691326,23991.20465386393,23993.124349177033,2716
2026-07-06 09:39:00+05:30,23993.124349177033,23993.262270253133,23989.9021635465,23990.72232382489,2259
2026-07-06 09:40:00+05:30,23990.72232382489,23991.331823101467,23988.90876645234,23989.95348624025,4028
2026-07-06 09:41:00+05:30,23989.95348624025,23991.6608773296,23989.742551228388,23990.315901526257,2854
2026-07-06 09:42:00+05:30,23990.315901526257,23992.359480437357,23987.969662741143,23988.237177897012,2029
